id;nome_lead;telefone;email;data_nascimento;data_cadastro
1;El to Uganda;deliverables holistic Loan;Marcela_Xavier@gmail.com;2022-05-18;2022-05-18
2;Ilhas;haptic;Yango84@yahoo.com;2022-05-18;2022-05-18
3;Synergistic;Computador Bacon;Breno97@gmail.com;2022-05-18;2022-05-18
4;up Usability Fresco;JSON explicit TCP;Elo_Oliveira@yahoo.com;2022-05-18;2022-05-18
5;Rodovia Interface Macio;SDD;Yago47@live.com;2022-05-18;2022-05-18
6;Optional;da;Ceclia.Silva63@bol.com.br;2022-05-18;2022-05-18
7;Orchestrator Música;panel;Clara_Moraes@live.com;2022-05-18;2022-05-18
8;copy bordô;Genérico Alameda hacking;Csar_Moraes26@hotmail.com;2022-05-18;2022-05-18
9;overriding;Customer;Raul.Costa59@yahoo.com;2022-05-18;2022-05-18
10;Bebê Synergistic override;optimize system bricks-and-clicks;Antnio_Carvalho41@yahoo.com;2022-05-18;2022-05-18
